 BEGIN FILE

 CHARACTER: P			 ASCII 0x50
 CHARACTER: R			 ASCII 0x52
 CHARACTER: O			 ASCII 0x4F
 CHARACTER: G			 ASCII 0x47
 CHARACTER: R			 ASCII 0x52
 CHARACTER: A			 ASCII 0x41
 CHARACTER: M			 ASCII 0x4D
 CHARACTER: \CAR_RETURN  ASCII 0x0D
 NEW LINE
 CHARACTER: \LINE_FEED	 ASCII 0x0A
 CHARACTER: n			 ASCII 0x6E
 CHARACTER: u			 ASCII 0x75
 CHARACTER: m			 ASCII 0x6D
 CHARACTER: \space		 ASCII 0x20
 CHARACTER: a			 ASCII 0x61
 CHARACTER: i			 ASCII 0x69
 CHARACTER: f			 ASCII 0x66
 CHARACTER: ;			 ASCII 0x3B
 CHARACTER: \CAR_RETURN  ASCII 0x0D
 NEW LINE
 CHARACTER: \LINE_FEED	 ASCII 0x0A
 CHARACTER: #			 ASCII 0x23
 CHARACTER: D			 ASCII 0x44
 CHARACTER: E			 ASCII 0x45
 CHARACTER: C			 ASCII 0x43
 CHARACTER: L			 ASCII 0x4C
 CHARACTER: A			 ASCII 0x41
 CHARACTER: R			 ASCII 0x52
 CHARACTER: E			 ASCII 0x45
 CHARACTER: \space		 ASCII 0x20
 CHARACTER: b			 ASCII 0x62
 CHARACTER: \space		 ASCII 0x20
 CHARACTER: =			 ASCII 0x3D
 CHARACTER: \space		 ASCII 0x20
 CHARACTER: 2			 ASCII 0x32
 CHARACTER: ;			 ASCII 0x3B
 CHARACTER: \CAR_RETURN  ASCII 0x0D
 NEW LINE
 CHARACTER: \LINE_FEED	 ASCII 0x0A
 CHARACTER: a			 ASCII 0x61
 CHARACTER: 1			 ASCII 0x31
 CHARACTER: \space		 ASCII 0x20
 CHARACTER: =			 ASCII 0x3D
 CHARACTER: \space		 ASCII 0x20
 CHARACTER: -			 ASCII 0x2D
 CHARACTER: 1			 ASCII 0x31
 CHARACTER: 0			 ASCII 0x30
 CHARACTER: .			 ASCII 0x2E
 CHARACTER: 1			 ASCII 0x31
 CHARACTER: E			 ASCII 0x45
 CHARACTER: E			 ASCII 0x45
 CHARACTER: -			 ASCII 0x2D
 CHARACTER: 1			 ASCII 0x31
 CHARACTER: .			 ASCII 0x2E
 CHARACTER: 2			 ASCII 0x32
 CHARACTER: \CAR_RETURN  ASCII 0x0D
 NEW LINE
 CHARACTER: \LINE_FEED	 ASCII 0x0A
 CHARACTER: n			 ASCII 0x6E
 CHARACTER: u			 ASCII 0x75
 CHARACTER: m			 ASCII 0x6D
 CHARACTER: \space		 ASCII 0x20
 CHARACTER: 0			 ASCII 0x30
 CHARACTER: a			 ASCII 0x61
 CHARACTER: ;			 ASCII 0x3B
 CHARACTER: \CAR_RETURN  ASCII 0x0D
 NEW LINE
 CHARACTER: \LINE_FEED	 ASCII 0x0A
 CHARACTER: n			 ASCII 0x6E
 CHARACTER: u			 ASCII 0x75
 CHARACTER: m			 ASCII 0x6D
 CHARACTER: \space		 ASCII 0x20
 CHARACTER: a			 ASCII 0x61
 CHARACTER: ;			 ASCII 0x3B
 CHARACTER: \CAR_RETURN  ASCII 0x0D
 NEW LINE
 CHARACTER: \LINE_FEED	 ASCII 0x0A
